충전소명,주소,상세주소,충전기ID,충전방식,충전상태,설치년도
선흘리 낙선동4.3 유적지,제주특별자치도 제주시 조천읍 선흘서5길7,,11,동시,사용가능,2018
선흘리 낙선동4.3 유적지,제주특별자치도 제주시 조천읍 선흘서5길7,,12,동시,사용가능,2018
애월읍사무소,제주특별자치도 제주시 애월읍 일주서로 6322,,11,동시,사용가능,2018
애월읍사무소,제주특별자치도 제주시 애월읍 일주서로 6322,,12,동시,사용가능,2018
한국교통안전공단제주자동차검사소,제주특별자치도 제주시 삼봉로 79(도련2동),,1,단독,사용가능,2018
한국교통안전공단제주자동차검사소,제주특별자치도 제주시 삼봉로 79(도련2동),,2,단독,사용가능,2018
제주도립미술관,제주특별자치도 제주시 1100로 2894-78(연동),,11,동시,사용가능,2018
제주도립미술관,제주특별자치도 제주시 1100로 2894-78(연동),,12,동시,사용가능,2018
조천읍사무소,제주특별자치도 제주시 조천읍 신북로 194,,11,동시,사용가능,2018
조천읍사무소,제주특별자치도 제주시 조천읍 신북로 194,,12,동시,사용가능,2018
일출랜드,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30,,11,동시,사용가능,2018
일출랜드,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30,,12,동시,사용가능,2018
제주항일기념관,제주특별자치도 제주시 조천읍 신북로 303,,11,동시,사용가능,2018
제주항일기념관,제주특별자치도 제주시 조천읍 신북로 303,,12,동시,사용가능,2018
양지(추모)공원,제주특별자치도 제주시 516로 2810-31(영평동),,11,동시,사용가능,2018
양지(추모)공원,제주특별자치도 제주시 516로 2810-31(영평동),,12,동시,사용가능,2018
홍로공영주차장,제주특별자치도 서귀포시 동홍동 1480-6,,1,단독,사용가능,2018
홍로공영주차장,제주특별자치도 서귀포시 동홍동 1480-6,,11,동시,사용가능,2018
홍로공영주차장,제주특별자치도 서귀포시 동홍동 1480-6,,12,동시,사용가능,2018
돌문화공원,제주특별자치도 제주시 조천읍 남조로 2023,,1,단독,사용가능,2018
돌문화공원,제주특별자치도 제주시 조천읍 남조로 2023,,11,동시,사용가능,2018
돌문화공원,제주특별자치도 제주시 조천읍 남조로 2023,,12,동시,사용가능,2018
사려니숲길 주차장,제주특별자치도 제주시 봉개동 2750-2,,1,단독,사용가능,2018
사려니숲길 주차장,제주특별자치도 제주시 봉개동 2750-2,,11,동시,사용가능,2018
사려니숲길 주차장,제주특별자치도 제주시 봉개동 2750-2,,12,동시,사용가능,2018
제스코마트,제주특별자치도 제주시 연북로 444,,1,단독,충전중,2018
제스코마트,제주특별자치도 제주시 연북로 444,,11,동시,사용가능,2018
제스코마트,제주특별자치도 제주시 연북로 444,,12,동시,사용가능,2018
신화역사공원 조성사업,제주특별자치도 서귀포시 안덕면 서광리 1279,,1,단독,사용가능,2018
신화역사공원 조성사업,제주특별자치도 서귀포시 안덕면 서광리 1279,,2,단독,사용가능,2018
신화역사공원 조성사업,제주특별자치도 서귀포시 안덕면 서광리 1279,,3,단독,사용가능,2018
신화역사공원 조성사업,제주특별자치도 서귀포시 안덕면 서광리 1279,,4,단독,사용가능,2018
서귀포보건소,제주특별자치도 서귀포시 중앙로 101번길 52,,1,단독,사용가능,2019
남원119센터,제주특별자치도 서귀포시 남원읍 남원체육관로221번길 23,,1,단독,사용가능,2019
홍로공영주차장,제주특별자치도 서귀포시 동홍동 1480-6,,1,단독,사용가능,2019
서귀포시 교통행정과(공영버스 차고지),제주특별자치도 서귀포시 토평공단로 20,,1,단독,사용가능,2020
국민건강보험공단 서귀포지사,제주특별자치도 서귀포시 신서귀로 51번길 38,,1,단독,사용가능,2019
용담1동주민센터,제주특별자치도 제주시 용남3길 7,,11,동시,사용가능,2019
용담1동주민센터,제주특별자치도 제주시 용남3길 7,,12,동시,사용가능,2019
라마다프라자제주호텔,제주특별자치도 제주시 탑동로 66,,1,단독,상태미확인,2019
서귀포항 해운항만과 사무실,제주특별자치도 서귀포시 칠십리로 72번길 1,,21,동시,사용가능,2019
서귀포항 해운항만과 사무실,제주특별자치도 서귀포시 칠십리로 72번길 1,,22,동시,사용가능,2019
강정크루즈터미널,제주특별자치도 서귀포시 말질로 261,,21,동시,사용가능,2019
강정크루즈터미널,제주특별자치도 서귀포시 말질로 261,,22,동시,사용가능,2019
아시아CGI애니메이션센터,제주특별자치도 서귀포시 동홍로 41,,21,동시,사용가능,2020
아시아CGI애니메이션센터,제주특별자치도 서귀포시 동홍로 41,,22,동시,사용가능,2020
한국중부발전㈜ 상명풍력발전소,제주특별자치도 제주시 한림읍 금악서길133,,21,동시,사용가능,2019
한국중부발전㈜ 상명풍력발전소,제주특별자치도 제주시 한림읍 금악서길133,,22,동시,사용가능,2019
한국중부발전㈜ 제주화력본부 사택,제주특별자치도 제주시 삼양1동 1637-1,,21,동시,사용가능,2019
한국중부발전㈜ 제주화력본부 사택,제주특별자치도 제주시 삼양1동 1637-1,,22,동시,사용가능,2019
문화예술진흥원,제주특별자치도 제주시 동광로 69,,21,동시,사용가능,2019
문화예술진흥원,제주특별자치도 제주시 동광로 69,,22,동시,사용가능,2019
제주특별자치도의회,제주특별자치도 제주시 문연로 13,,21,동시,사용가능,2019
제주특별자치도의회,제주특별자치도 제주시 문연로 13,,22,동시,사용가능,2019
제주농업기술센터,제주특별자치도 제주시 애월읍 상귀길 173,,21,동시,사용가능,2020
제주농업기술센터,제주특별자치도 제주시 애월읍 상귀길 173,,22,동시,사용가능,2020
김녕119지역센터,제주특별자치도 제주시 구좌읍 김녕로 242,,21,동시,사용가능,2019
김녕119지역센터,제주특별자치도 제주시 구좌읍 김녕로 242,,22,동시,사용가능,2019
용암해수산업화지원센터 2호관,제주특별자치도 제주시 구좌읍 일주동로 2708-19,,21,동시,사용가능,2019
용암해수산업화지원센터 2호관,제주특별자치도 제주시 구좌읍 일주동로 2708-19,,22,동시,사용가능,2019
제주특별자치도교육청,제주특별자치도 제주시 문연로 5,,21,동시,사용가능,2019
제주특별자치도교육청,제주특별자치도 제주시 문연로 5,,22,동시,충전중,2019
동녘도서관,제주특별자치도 제주시 구좌읍 일주동로 3132,,21,동시,사용가능,2019
동녘도서관,제주특별자치도 제주시 구좌읍 일주동로 3132,,22,동시,사용가능,2019
비자림,제주특별자치도 제주시 구좌읍 비자숲길 55,,21,동시,사용가능,2020
비자림,제주특별자치도 제주시 구좌읍 비자숲길 55,,22,동시,상태미확인,2020
월드컵경기장,제주특별자치도 서귀포시 월드컵로 31,,21,동시,사용가능,2019
월드컵경기장,제주특별자치도 서귀포시 월드컵로 31,,22,동시,사용가능,2019
월드컵경기장,제주특별자치도 서귀포시 월드컵로 31,,23,동시,사용가능,2019
월드컵경기장,제주특별자치도 서귀포시 월드컵로 31,,24,동시,사용가능,2019
제주4.3평화재단 공원,제주특별자치도 제주시 명림로 430,,41,단독,사용가능,2019
제주4.3평화재단 공원,제주특별자치도 제주시 명림로 430,,42,단독,사용가능,2019
제주4.3평화재단 공원,제주특별자치도 제주시 명림로 430,,43,단독,사용가능,2019
제주4.3평화재단 공원,제주특별자치도 제주시 명림로 430,,44,단독,사용가능,2019
제주국제대학교,제주특별자치도 제주시 516로 2870,,21,동시,사용가능,2020
제주국제대학교,제주특별자치도 제주시 516로 2870,,22,동시,사용가능,2020
제주국제대학교,제주특별자치도 제주시 516로 2870,,23,동시,사용가능,2020
제주국제대학교,제주특별자치도 제주시 516로 2870,,24,동시,충전중,2020
웅전공영주차장,제주특별자치도 제주시 노형동 2517-1,,1,단독,사용가능,2019
수덕공영주차장,제주특별자치도 제주시 노형동 2534-3,,1,단독,사용가능,2019
용두암 공영주차장,제주특별자치도 제주시 용두암길15,,1,단독,충전중,2019
제주시 민속오일시장 주차타워,제주특별자치도 제주시 오일장서길 26,,21,단독,사용가능,2019
제주시 민속오일시장 주차타워,제주특별자치도 제주시 오일장서길 26,,22,단독,사용가능,2019
외도119센터,제주특별자치도 제주시 통물길 75,,1,단독,사용가능,2019
외도119센터,제주특별자치도 제주시 통물길 75,,2,단독,사용가능,2019
조천도서관,제주특별자치도 제주시 조천읍 일주동로 1189,,1,단독,사용가능,2019
조천도서관,제주특별자치도 제주시 조천읍 일주동로 1189,,2,단독,사용가능,2019
