"운영기관","충전소","충전기ID","충전기타입","시설구분(대)","시설구분(소)","지역","시군구","주소","이용가능시간","이용자 제한","충전용량","편의제공","비고"
"서울시","논현 1호 공영주차장","01","DC콤보","주차시설","공영주차장","서울특별시","강남구 ","서울특별시 강남구 학동로6길 19 2층 램프 인근2층 램프 진입구간","24시간 이용가능","","급속(100kW동시)","",""
"서울시","논현 1호 공영주차장","02","DC콤보","주차시설","공영주차장","서울특별시","강남구 ","서울특별시 강남구 학동로6길 19 2층 램프 인근2층 램프 진입구간","24시간 이용가능","","급속(100kW동시)","",""
"서울시","논현 2호 공영주차장","01","DC콤보","주차시설","공영주차장","서울특별시","강남구 ","서울특별시 강남구 학동로20길 13 1층 입구 좌측1층 정산사무실 앞","24시간 이용가능","","급속(100kW동시)","",""
"서울시","논현 2호 공영주차장","02","DC콤보","주차시설","공영주차장","서울특별시","강남구 ","서울특별시 강남구 학동로20길 13 1층 입구 좌측1층 정산사무실 앞","24시간 이용가능","","급속(100kW동시)","",""
"서울시","논현2동 주민센터","01","AC완속","공공시설","주민센터","서울특별시","강남구 ","서울특별시 강남구 학동로43길 17 지상주차장지상 주차장","24시간 이용가능","","완속(7kW단독)","",""
"서울시","논현로28길 노상공영주차장","01","DC콤보","주차시설","공영주차장","서울특별시","강남구 ","서울특별시 강남구 논현로28길 25 주차정산소 옆","24시간 이용가능","","급속(50kW단독)","",""
"서울시","누상공영주차장","01","DC콤보","주차시설","일반주차장","서울특별시","종로구 ","서울특별시 종로구 누상동 166-50 누상공영주차장누상공영주차장","24시간 이용가능","","급속(50kW단독)","",""
"서울시","누상공영주차장","02","AC완속","주차시설","일반주차장","서울특별시","종로구 ","서울특별시 종로구 누상동 166-50 누상공영주차장누상공영주차장","24시간 이용가능","","완속(7kW단독)","",""
"서울시","대궐재어린이공원 거주자주차장","01","DC콤보","주차시설","일반주차장","서울특별시","서대문구 ","서울특별시 서대문구 연희동 73-8 16-13구획16-13구획","24시간 이용가능","","급속(50kW단독)","",""
"서울시","대방동(서울공고) 거주자주차장","01","DC콤보","주차시설","일반주차장","서울특별시","동작구 ","서울특별시 동작구 대방동1길 46 보라매역 7번출구 인근 116번 구획114번 구획","24시간 이용가능","","급속(50kW단독)","",""
"서울시","도곡정보문화도서관","01","AC완속","공공시설","주민센터","서울특별시","강남구 ","서울특별시 강남구 도곡로18길 57 (도곡동, 도곡정보문화도서관) 지상1층 정문 뒷편주차장후문 주차장","24시간 이용가능","","완속(7kW단독)","",""
"서울시","도곡정보문화도서관","02","AC완속","공공시설","주민센터","서울특별시","강남구 ","서울특별시 강남구 도곡로18길 57 (도곡동, 도곡정보문화도서관) 지상1층 정문 뒷편주차장후문 주차장","24시간 이용가능","","완속(7kW단독)","",""
"서울시","도봉동 거주자우선주차장","01","DC콤보","주차시설","일반주차장","서울특별시","도봉구 ","서울특별시 도봉구 도봉로169나길 34 건물 앞 거주자우선주차장","24시간 이용가능","","급속(50kW단독)","",""
"서울시","도봉동 실내스포츠센터","01","DC콤보","공공시설","관공서","서울특별시","도봉구 ","서울특별시 도봉구 마들로 805 1층 주차장1층 주차장","24시간 이용가능","","급속(100kW동시)","",""
"서울시","도봉동 실내스포츠센터","02","DC콤보","공공시설","관공서","서울특별시","도봉구 ","서울특별시 도봉구 마들로 805 1층 주차장1층 주차장","24시간 이용가능","","급속(100kW동시)","",""
"서울시","동대문구청","01","DC콤보","공공시설","공공기관","서울특별시","동대문구 ","서울특별시 동대문구 천호대로 145 동대문구청동대문구청","24시간 이용가능","","급속(100kW단독)","",""
"서울시","동대문구청","02","DC콤보","공공시설","공공기관","서울특별시","동대문구 ","서울특별시 동대문구 천호대로 145 동대문구청동대문구청","24시간 이용가능","","급속(100kW동시)","",""
"서울시","동대문구청","03","DC콤보","공공시설","공공기관","서울특별시","동대문구 ","서울특별시 동대문구 천호대로 145 동대문구청동대문구청","24시간 이용가능","","급속(100kW동시)","",""
"서울시","동대문구청","04","DC콤보","공공시설","공공기관","서울특별시","동대문구 ","서울특별시 동대문구 천호대로 145 동대문구청동대문구청","24시간 이용가능","","급속(100kW단독)","",""
"서울시","동대문구청","05","DC콤보","공공시설","공공기관","서울특별시","동대문구 ","서울특별시 동대문구 천호대로 145 동대문구청동대문구청","24시간 이용가능","","급속(100kW동시)","",""
"서울시","동대문구청","06","DC콤보","공공시설","공공기관","서울특별시","동대문구 ","서울특별시 동대문구 천호대로 145 동대문구청동대문구청","24시간 이용가능","","급속(100kW동시)","",""
"서울시","동대문구청","07","DC콤보","공공시설","공공기관","서울특별시","동대문구 ","서울특별시 동대문구 천호대로 145 동대문구청동대문구청","24시간 이용가능","","급속(100kW동시)","",""
"서울시","동작구청","01","DC차데모+AC3상+DC콤보","공공시설","관공서","서울특별시","동작구 ","서울특별시 동작구 장승배기로 161 (노량진동, 동작구청) 교통종합민원실 앞 주차장별관앞 부설주차장","평일 09:00~18:00","","급속(50kW단독)","",""
"서울시","동작구청 후문 가로등형 충전소","01","DC콤보","기타시설","기타","서울특별시","동작구 ","서울특별시 동작구 장승배기로 161 (서울특별시 동작구 노량진로 8길 65 전기차충전소)동작구청 후문","24시간 이용가능","","급속(50kW단독)","",""
"서울시","드림디포 앞 가로등형 충전소","01","DC콤보","기타시설","기타","서울특별시","마포구 ","서울특별시 마포구 토정로 271 전기차충전소드림디포 앞","24시간 이용가능","","급속(50kW단독)","",""
"서울시","로봇과학관","01","AC완속","공공시설","지자체시설","서울특별시","도봉구 ","서울특별시 도봉구 마들로13길 56 로봇과학관","24시간 이용가능","","완속(7kW단독)","",""
"서울시","마곡중앙광장공영주차장","01","DC콤보","주차시설","공영주차장","서울특별시","강서구 ","서울특별시 강서구 마곡중앙5로 지하9 (마곡동, 마곡중앙광장) 공영주차장 지하2층 진입로 왼쪽 맨끝","24시간","","급속(40kW단독)","","기기 고장(이용 불가)"
